Line,Name,TransitTime,R,G,B
1,용산,110,11,83,148
1,남영,120,11,83,148
1,서울역,120,11,83,148
1,시청,100,11,83,148
1,종각,90,11,83,148
1,종로3가,90,11,83,148
1,종로5가,90,11,83,148
1,동대문,80,11,83,148
1,동묘앞,80,11,83,148
1,신설동,90,11,83,148
1,제기동,100,11,83,148
1,청량리,0,11,83,148
2,당산,170,27,170,76
2,합정,100,27,170,76
2,홍대입구,110,27,170,76
2,신촌,90,27,170,76
2,이대,90,27,170,76
2,아현,90,27,170,76
2,충정로,110,27,170,76
2,시청,90,27,170,76
2,을지로입구,90,27,170,76
2,을지로3가,80,27,170,76
2,을지로4가,100,27,170,76
2,동대문역사문화공원,100,27,170,76
2,신당,100,27,170,76
2,상왕십리,90,27,170,76
2,왕십리,100,27,170,76
2,한양대,0,27,170,76
3,경복궁,100,222,109,1
3,안국,90,222,109,1
3,종로3가,70,222,109,1
3,을지로3가,80,222,109,1
3,충무로,100,222,109,1
3,동대입구,90,222,109,1
3,약수,90,222,109,1
3,금호,90,222,109,1
3,옥수,0,222,109,1
4,이촌,100,0,153,209
4,신용산,90,0,153,209
4,삼각지,100,0,153,209
4,숙대입구,100,0,153,209
4,서울역,90,0,153,209
4,회현,90,0,153,209
4,명동,80,0,153,209
4,충무로,100,0,153,209
4,동대문역사문화공원,90,0,153,209
4,동대문,90,0,153,209
4,혜화,0,0,153,209
5,마포,100,173,88,153
5,공덕,110,173,88,153
5,애오개,100,173,88,153
5,충정로,90,173,88,153
5,서대문,120,173,88,153
5,광화문,100,173,88,153
5,종로3가,90,173,88,153
5,을지로4가,90,173,88,153
5,동대문역사문화공원,100,173,88,153
5,청구,100,173,88,153
5,신금호,100,173,88,153
5,행당,100,173,88,153
5,왕십리,100,173,88,153
5,마장,0,173,88,153
6,망원,100,208,142,28
6,합정,100,208,142,28
6,상수,100,208,142,28
6,광흥창,100,208,142,28
6,대흥,110,208,142,28
6,공덕,100,208,142,28
6,효창공원앞,130,208,142,28
6,삼각지,110,208,142,28
6,녹사평,90,208,142,28
6,이태원,100,208,142,28
6,한강진,110,208,142,28
6,버티고개,90,208,142,28
6,약수,90,208,142,28
6,청구,0,208,142,28
